Epoch,Train Loss,Train Acc,Test Loss,Test Acc
1,2.7263,10.58%,2.2952,11.84%
2,2.7033,12.81%,2.2953,10.79%
3,2.6868,13.27%,2.3007,10.26%
4,2.6684,14.59%,2.3064,11.58%
5,2.6426,15.97%,2.3131,11.05%
6,2.6300,17.02%,2.3131,12.11%
7,2.5997,18.66%,2.3110,11.84%
8,2.5809,20.04%,2.3253,12.37%
9,2.5502,20.63%,2.3463,11.58%
10,2.5482,20.43%,2.3378,12.37%
11,2.5374,21.09%,2.3398,11.84%
12,2.5240,20.63%,2.3554,11.32%
13,2.5095,21.75%,2.3630,11.84%
14,2.4930,22.14%,2.3696,11.84%
15,2.4847,22.47%,2.3699,12.37%
16,2.4883,22.14%,2.3676,13.42%
17,2.4755,21.75%,2.3713,13.16%
18,2.4708,22.80%,2.3764,13.42%
19,2.4617,22.80%,2.3798,13.16%
20,2.4493,23.52%,2.3831,13.16%
21,2.4501,22.73%,2.3820,12.63%
22,2.4447,22.93%,2.3830,12.89%
23,2.4389,23.98%,2.3850,12.63%
24,2.4411,23.06%,2.3863,12.63%
25,2.4441,23.39%,2.3866,12.63%
26,2.4324,23.52%,2.3872,12.37%
